App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,In-App Purchases,Ad Supported,Price_zscore,Price_MinMax,Price_Standard
Strike Plus,FAMILY,4.6,12460594.0,Varies with device,"500,000,000+",Free,0.0,Teen,Family,2026-01-15,Varies with device,8.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Tracker AI,EDUCATION,3.4,11487705.0,Varies with device,"500,000,000+",Free,0.0,Everyone,Education,2025-10-22,Varies with device,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Scanner,FAMILY,3.5,10503932.0,Varies with device,"500,000,000+",Paid,0.99,Everyone,Family,2024-11-08,Varies with device,10.0 and up,No,No,0.18529030280934974,0.0024750618765469134,0.18529030280934974
Connect 3D,ART_AND_DESIGN,4.7,4818860.0,221.6M,"100,000,000+",Free,0.0,Everyone,Art And Design,2025-10-07,6.8.21,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
VPN,PRODUCTIVITY,3.5,3562800.0,122.9M,"100,000,000+",Free,0.0,Everyone,Productivity,2026-06-29,5.5.11,12.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Planner,ART_AND_DESIGN,3.9,2432119.0,187.4M,"100,000,000+",Free,0.0,Everyone,Art And Design,2026-06-28,12.2.16,8.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Pay 3D,ARTIFICIAL_INTELLIGENCE,5.0,1473707.0,15.6M,"100,000,000+",Free,0.0,Everyone,Artificial Intelligence;Creativity,2026-03-19,5.18.66,9.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Browser Now,MEDICAL,4.2,1428040.0,80.1M,"100,000,000+",Free,0.0,Teen,Medical,2026-02-01,3.1.10,10.0 and up,No,No,-0.052142922227814796,0.0,-0.052142922227814796
Player Max,TOOLS,4.0,677625.0,134.0M,"100,000,000+",Free,0.0,Everyone 10+,Tools,2025-09-06,5.17.88,9.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Quick Pay,SOCIAL,3.8,2252646.0,127.5M,"50,000,000+",Free,0.0,Mature 17+,Social,2025-04-14,7.3.81,Varies with device,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Chat Online,GAME,5.0,1990072.0,321.5M,"50,000,000+",Free,0.0,Everyone,Game;Action,2023-09-17,8.1.82,12.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Smart Fit Premium 2025,PRODUCTIVITY,3.1,1980832.0,Varies with device,"50,000,000+",Free,0.0,Everyone,Productivity;Creativity,2025-08-11,Varies with device,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Health,WEATHER,4.9,1581611.0,52.9M,"50,000,000+",Free,0.0,Everyone,Weather,2025-11-01,2.13.33,8.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
VPN,TOOLS,4.7,1547004.0,142.3M,"50,000,000+",Free,0.0,Everyone,Tools,2025-09-09,2.6.51,12.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Tracker 2026,GAME,4.6,1473778.0,400.1M,"50,000,000+",Free,0.0,Everyone,Game;Board,2025-08-23,11.11.52,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Lite Planner AI,ARTIFICIAL_INTELLIGENCE,4.8,1462981.0,76.2M,"50,000,000+",Free,0.0,Everyone,Artificial Intelligence,2023-05-24,3.11.39,10.0 and up,Yes,No,-0.052142922227814796,0.0,-0.052142922227814796
Drive,FAMILY,3.6,1379884.0,86.0M,"50,000,000+",Free,0.0,Teen,Family,2025-06-20,2.2.86,11.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Wallet 2025,SOCIAL,4.2,1345476.0,97.4M,"50,000,000+",Free,0.0,Everyone,Social;Creativity,2026-02-10,5.1.93,10.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Meta VPN,WEATHER,3.9,1312427.0,Varies with device,"50,000,000+",Free,0.0,Everyone,Weather,2025-09-16,Varies with device,10.0 and up,Yes,Yes,-0.052142922227814796,0.0,-0.052142922227814796
Player,TOOLS,2.9,1188436.0,13.1M,"50,000,000+",Free,0.0,Teen,Tools,2026-01-13,6.18.88,9.0 and up,No,Yes,-0.052142922227814796,0.0,-0.052142922227814796
